gene,invivo,invitro
NME2,ENST00000503064,ENST00000503064
NME4,ENST00000450036,
NOC4L,ENST00000330579,ENST00000330579
NOL11,ENST00000581966,ENST00000581966
NOL7,ENST00000451315,ENST00000451315
NOLC1,ENST00000461421,ENST00000461421
NONO,ENST00000418921,"ENST00000473525
ENST00000418921"
NOP10,ENST00000328848,ENST00000328848
NOP16,ENST00000614830,ENST00000614830
NOP56,ENST00000470143,ENST00000470143
NOP58,ENST00000478508,ENST00000478508
NPC2,ENST00000556009,
NPLOC4,ENST00000331134,ENST00000331134
NPM1,ENST00000296930,ENST00000296930
NPTN,ENST00000351217,
NR2F1,ENST00000327111,
NRN1,ENST00000244766,
NSMCE4A,ENST00000459911,ENST00000459911
NT5DC2,ENST00000471522,ENST00000471522
NUCKS1,ENST00000367142,ENST00000367142
NUDCD2,ENST00000302764,ENST00000302764
NUDT1,ENST00000356714,ENST00000356714
NUDT5,ENST00000444732,ENST00000444732
NUP107,,ENST00000229179
NUP133,ENST00000490352,ENST00000490352
NUP62,ENST00000422090,
OAT,ENST00000471127,ENST00000471127
OAZ1,ENST00000602676,ENST00000602676
ODC1,ENST00000234111,ENST00000234111
OGT,ENST00000498566,ENST00000498566
OST4,ENST00000456793,ENST00000456793
OSTC,ENST00000361564,ENST00000361564
PA2G4,ENST00000303305,ENST00000303305
PABPC1,ENST00000521865,ENST00000521865
PAFAH1B1,ENST00000572915,ENST00000572915
PAICS,ENST00000505164,ENST00000505164
PAIP2,ENST00000510080,ENST00000510080
PAK1IP1,ENST00000379568,ENST00000379568
PAM16,ENST00000318059,
PAPOLA,ENST00000216277,ENST00000216277
PARP1,ENST00000366794,ENST00000366794
PBK,ENST00000301905,ENST00000301905
PCLAF,ENST00000300035,ENST00000300035
PCMT1,ENST00000480010,ENST00000480010
PCNA,ENST00000379143,ENST00000379143
PDCD10,ENST00000497056,ENST00000497056
PDCD2L,ENST00000246535,ENST00000246535
PDCD5,ENST00000590247,ENST00000590247
PDE6D,ENST00000409772,ENST00000409772
PDSS1,ENST00000470978,ENST00000470978
PEBP1,ENST00000261313,ENST00000261313
PEF1,ENST00000472443,ENST00000472443
PES1,ENST00000354694,ENST00000354694
PET100,ENST00000594797,
PET117,ENST00000432901,ENST00000432901
PFDN2,ENST00000368010,ENST00000368010
PFDN4,ENST00000371419,ENST00000371419
PFDN5,ENST00000551018,ENST00000551018
PFN1,ENST00000225655,ENST00000225655
PFN2,ENST00000423691,ENST00000423691
PGAM1,ENST00000473929,ENST00000473929
PGAM5,,ENST00000543955
PGK1,ENST00000373316,ENST00000373316
PGP,ENST00000333503,ENST00000333503
PGRMC1,ENST00000217971,ENST00000217971
PHF5A,ENST00000216252,ENST00000216252
PHGDH,ENST00000369409,ENST00000369409
PHPT1,ENST00000463215,ENST00000463215
PIGF,ENST00000281382,
PIGH,ENST00000558987,ENST00000558987
PIGK,ENST00000445065,ENST00000445065
PIGY,ENST00000527353,ENST00000527353
PIN4,ENST00000373669,
PITHD1,,ENST00000374524
PKN2,ENST00000370521,ENST00000370521
PLGRKT,ENST00000223864,ENST00000223864
PLRG1,ENST00000503251,ENST00000503251
PLS3,ENST00000355899,ENST00000355899
PMF1-BGLAP,ENST00000490491,ENST00000490491
PNKD,ENST00000273077,
PNPO,ENST00000225573,
POLE3,ENST00000475080,ENST00000475080
POLR1C,ENST00000372344,ENST00000372344
POLR1D,ENST00000302979,ENST00000302979
POLR2B,ENST00000381227,ENST00000381227
POLR2K,ENST00000353107,ENST00000353107
POLR2L,ENST00000322028,ENST00000322028
POLR3K,ENST00000293860,ENST00000293860
POMP,ENST00000380842,ENST00000380842
POP4,ENST00000221770,ENST00000221770
POP7,ENST00000303151,ENST00000303151
PP7080,,ENST00000342584
PPA1,ENST00000373232,ENST00000373232
PPA2,"ENST00000503171
ENST00000502596","ENST00000503171
ENST00000502596"
PPAT,ENST00000507648,
PPIA,ENST00000451562,ENST00000451562
PPIB,ENST00000300026,ENST00000300026
PPIC,ENST00000306442,ENST00000306442
PPIF,ENST00000225174,ENST00000225174
PPIH,,ENST00000372549
PPP1R14B,ENST00000309318,ENST00000309318
PPP1R8,ENST00000431586,ENST00000431586
PPP2R1A,ENST00000477989,ENST00000477989
PPP4R2,ENST00000488810,ENST00000488810
PPP5C,ENST00000012443,
PRAF2,ENST00000553851,
PRDX1,ENST00000319248,ENST00000319248
PRDX2,ENST00000301522,ENST00000301522
PRDX3,ENST00000298510,ENST00000298510
PRDX4,ENST00000379341,ENST00000379341
PRDX5,ENST00000265462,ENST00000265462
PRDX6,ENST00000340385,ENST00000340385
PRELID1,ENST00000303204,ENST00000303204
PRELID3B,ENST00000355937,ENST00000355937
PRIM1,ENST00000338193,ENST00000338193
PRKDC,ENST00000536429,ENST00000536429
PRMT1,"ENST00000530070
ENST00000528623","ENST00000530070
ENST00000528623"
PRPF19,ENST00000540473,ENST00000540473
PRPF40A,ENST00000410080,ENST00000410080
PRPF6,ENST00000266079,ENST00000266079
PRPS1,ENST00000372435,ENST00000372435
PRPS2,ENST00000380668,ENST00000380668
PSAT1,ENST00000376588,ENST00000376588
PSMA1,ENST00000396394,ENST00000396394
PSMA2,ENST00000223321,ENST00000223321
PSMA3,ENST00000553677,ENST00000553677
PSMA4,ENST00000044462,ENST00000044462
PSMA5,ENST00000271308,ENST00000271308
PSMA7,ENST00000370873,ENST00000370873
PSMB1,ENST00000262193,ENST00000262193
PSMB2,ENST00000630477,ENST00000630477
PSMB3,ENST00000619426,ENST00000619426
PSMB4,ENST00000290541,ENST00000290541
PSMB5,ENST00000361611,ENST00000361611
PSMB6,ENST00000270586,ENST00000270586
PSMB7,ENST00000259457,ENST00000259457
PSMC1,ENST00000261303,ENST00000261303
PSMC3,ENST00000602866,ENST00000602866
